year,病院,診療所,卸売業者,小売業者,賃貸業者,その他
1994,973605.4392,99507.99698,143865.4094,19906.62474,21380.30544,59442.22422
1995,1038768.706,106168.0524,153494.2998,21238.97216,22811.2861,63420.68342
1996,1126125.195,115096.381,166402.5854,23025.08877,24729.62832,68754.12119
1997,1169298.427,119508.9301,172782.1047,23907.82144,25677.70939,71390.00717
1998,1161179.803,118679.1606,171582.4511,23741.82564,25499.42498,70894.33502
1999,1149962.387,117532.6772,169924.9028,23512.47105,25253.09134,70209.4702
2000,1152607.516,117803.0243,170315.7619,23566.55414,25311.17818,70370.96513
2001,1173637.769,119952.4354,173423.3101,23996.5449,25773.00101,71654.94006
2002,1158907.061,118446.8735,171246.618,23695.35649,25449.51573,70755.57569
2003,1153202.301,117863.8147,170403.6506,23578.71528,25324.23961,70407.27894
2004,1179261.992,120527.2629,174254.377,24111.53944,25896.50856,71998.31978
2005,1238858.351,114072.8182,180435.8887,23598.82511,18913.48425,56154.63282
2006,1272821.222,145258.0294,188459.8538,24597.69847,19962.5408,92056.65561
2007,1212683.854,115661.645,240594.4835,54409.1553,28826.13973,86088.72251
2008,1210233.201,136424.1622,232878.7703,62105.24918,23335.11682,81592.50072
2009,1136991.69,134789.9906,219651.8679,57273.1756,20899.97671,60494.29877
2010,1315763.418,96308.71986,248184.5175,13144.23604,30258.16175,61790.94728
2011,1337351.25,106024.9195,310877.0056,13907.78086,19907.17838,72211.86545
2012,1337388.047,135917.8593,353781.9043,20717.32366,30391.84966,68348.01572
2013,1252339.586,193270.6208,370875.7504,20252.88071,32802.22847,88669.9339
2014,1401177.437,121408.3546,382061.1064,24083.90655,26821.7916,88511.40431
2015,1303642.218,119669.9509,427371.1493,30503.0425,32403.23759,88799.4019
2016,1254450.443,129096.2589,433129.341,29811.51315,31663.86213,95865.58204
2017,1302110.395,163331.421,439901.3503,23629.2322,48482.58912,67483.01256
2018,1277789.764,115561.8479,409160.408,27794.15584,25329.29018,156894.5336
2019,1619456.911,141576.6,470756.0275,34655.07626,27149.73684,200569.6481
2020,1420120.501,147739.808,448473.9,18505.06401,22542.34235,346208.3845
2021,1643599.402,145044.7789,524704.2999,30365.32528,26373.42112,234206.7727
